event_action_id,event_id,action_type_id,action_description,source_url,source_citation,source_type,notes
EA00001,E0001,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00002,E0001,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00003,E0001,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00004,E0001,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00005,E0001,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00006,E0001,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00007,E0002,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00008,E0002,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00009,E0002,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00010,E0002,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00011,E0002,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00012,E0002,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00013,E0003,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00014,E0003,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00015,E0003,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00016,E0003,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00017,E0003,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00018,E0003,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00019,E0004,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00020,E0004,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00021,E0004,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00022,E0004,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00023,E0004,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00024,E0004,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00025,E0005,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00026,E0005,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00027,E0005,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
EA00028,E0005,AT006,Submit FOIA request for meeting-related records,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-30,state_law,Right to inspect/copy public records; 10-day response deadline
EA00029,E0005,AT005,Submit written public comment via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Portal availability depends on meeting settings
EA00030,E0005,AT007,Sign up to speak via City Public Meeting Portal,https://www.charleston-sc.gov/1842/Public-Meeting-Portal,City of Charleston Public Meeting Portal,city_portal,Speaker sign-up only available when enabled for the meeting
EA00031,E0006,AT001,Attend meeting in person (SC FOIA guarantees public access),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-60,state_law,All meetings of public bodies must be open to the public
EA00032,E0006,AT002,View agenda (must be posted 24 hours before meeting),https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-80,state_law,Agenda must be posted on bulletin board and website 24 hours prior
EA00033,E0006,AT003,Request meeting minutes as public record,https://www.scstatehouse.gov/code/t30c004.php,SC Code § 30-4-90,state_law,"Minutes are public records; must include date, time, attendance, votes"
